"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.92337117060551","0.943316000244893","0.957551495016585","0.984958026791874","1.02500603222283","1.03784812798319","1.0524095065884","1.07289179614439","1.13091703351694","1.13955892562249","1.12586291243083","1.16305010240635","1.19604132898964","1.20864669229519","1.21006876393466","1.23273705485488","1.23752658216472","1.26713820679477","1.29617578212114","1.31017240006063","1.27860494946511","1.30294060707092","1.31876661849032","1.28702435899103","1.3117209860102","1.36631378592424","1.36001458924542","1.35663664340973","1.37060558795929","1.42321181297302","1.4119086265564","1.36395359039307","1.32552993286486","1.31448380119852","1.3358003334369","",
"Africa Eastern and Southern","AFE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1998697278633","8.80071752178842","9.19688826054197","10.0699941213286","10.9116040744675","11.7344348456455","12.20296543905","14.5576162885083","14.581836306571","14.1789193736488","14.5430529453148","16.6134779097919","16.9302950898685","16.8815458389923","16.1278038080551","15.8235824504332","15.9236559656703","15.4202070236206","14.8562349775318","15.026434394062","15.3352430921872","14.5879421234131","14.9003323018049","14.7887521912564","13.2320571626481","",
"Africa Western and Central","AFW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.08190935685562E-08","2.15907128517547E-08","1.21700483539808E-07","1.20996724827688E-06","2.69628887592685E-05","0.000508507301080916","0.0244715448333415","0.0470195463427861","0.064797892138371","0.420102006470782","2.12800471715728","4.29448449000484","10.2538444955099","19.5683844416179","25.4172731420674","34.5360038402851","39.1361372197755","40.0754934623603","46.9563993663959","40.0083569688187","50.8609663933818","64.6057510375977","66.0171856203882","66.6955727425879","66.0018757612622","69.5859035283092","82.8633266447229","95.8372421264648","111.44181060791","124.439605712891","146.909133911133","174.090515136719","191.89616090516","220.826283791255","275.541334427151","322.965962233887",
"Albania","ALB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.26017088628735","2.96266192021588","9.64540495670419","21.2609805208752","28.2776580842755","30.4220140815476","34.9342388924779","38.7226763445269","40.7158326537676","41.1016112678836","42.0106889589827","42.8159783920027","42.9261500020936","44.5964580472103","44.9032866642201","45.5274427807621","44.4219714613751","44.6263862703145","44.5610300505113","44.3164122111067","44.2085275396523","43.857946713934","43.6552769183606","44.1137346771784","42.8939794696902","42.7059027543345","42.3856045548293","42.2556762085143","42.302763484983","40.5505352382444","40.2104823755404","41.1655084684252","39.6079245069442","39.4547845186235","39.6672501245719","39.9805375942293",
"Andorra","AND","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.481169191566506","0.49770746155942","0.519273962092258","0.530265609789238","0.539323536542202","0.554306929891887","0.54868068970287","0.551397610196187","0.553446123565784","0.560632656157998","0.705779895452388","0.711500899352849","0.723309998335426","0.731844152625696","0.734362308945265","0.736218215373228","0.738884638440347","0.742495774237193","0.745028111268096","0.741439506689731","0.735279068201982","0.721833616078532","0.709874590856121","0.701125997341683","0.688545090495811","0.686720483361013","0.682621757506323","0.678233981132507","0.656328009600346","0.64122788740431","0.627878780205223","0.604573547840118","0.588341425578457","0.603066309036457","0.604826658572286","0.603848577368125",
"Arab World","ARB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10849878124121","1.08093094219594","1.07594139509976","1.06446367617045","1.03947403088454","1.05791104144641","1.09886629873912","1.06995097497056","1.0130450876861","1.08325129463518","1.18064363755522","1.12751920033308","1.15213193051335","1.17583860865285","1.24238937851227","1.40369934773485","1.52459641218764","1.67043219533299","1.94259153380338","1.63754817063391","1.93268817638176","2.12660837173462","2.1879699726825","2.2341905856946","2.21351673547793","2.22924693053669","2.24174884422555","2.28525042533875","2.23515868186951","2.1137228012085","2.08898448944092","2.36256718635559","2.48355696366093","2.34654954239314","2.32695589646038","",
"Argentina","ARG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.293939470102461","0.68380637598758","0.776023252822108","0.731059830380026","0.736171486514112","0.743875471100246","0.730119100920647","0.714412313958537","0.694425180504472","0.672159933973219","0.664089244736491","0.642348668911009","0.825786930690557","0.894793043865781","1.03137254895737","1.10319436906769","1.21724697689933","1.36219731629439","1.6461183813018","1.88761027799013","2.25500157959557","2.73312783241272","3.22003163590423","3.94556760852856","5.46151378584004","6.88258971224653","9.32211732577767","10.2927856445313","13.5268135070801","20.3836688995361","26.8871841430664","38.783332824707","61.1893443740869","139.692187078265","419.292111285901","567.297421343424",
