Year,num_countries,max_gep,min_gep,med_gep,total_gep,max_country,min_country,median_country
2014,24,1493020467.603551,6605.294841046635,77356119.20818894,7076405897.674885,Philippines,Romania,Papua New Guinea
2015,20,1392689088.2756312,2915.8391563145674,96551180.9413193,6243108115.062593,Philippines,Romania,Costa Rica
2016,19,1094841249.9991293,1100.2812801377756,80060789.03239872,5976899702.099695,Philippines,Austria,Costa Rica
2017,21,1278869096.237284,4298.223976951157,41855002.596222304,6127240967.87291,United States,Austria,Germany
2018,21,1282236715.8284674,12122.758412814908,40696206.82191629,6155276848.61055,United States,Austria,Costa Rica
2019,21,1325905836.0697527,10933.986318148123,48681235.78740481,6558292384.420539,United States,Austria,Mexico
