Year,num_countries,max_gep,min_gep,med_gep,total_gep,max_country,min_country,median_country
2014,97,8268152654.049513,88.56330892036426,836248.8831023681,25496275576.388336,Germany,Latvia,Finland
2015,93,8087972839.081503,3262.7486636250533,1631568.2043035908,26844909048.222496,Germany,Paraguay,Indonesia
2016,97,7611625960.920696,2460.5546685325794,1850979.5858711973,29578332389.7653,Germany,Belize,Finland
2017,94,10117355566.219357,3658.111274627106,3599900.2976624854,38650996726.145584,Germany,Paraguay,Lithuania
2018,99,12153602457.815184,3366.2666786435484,6633324.386477466,47862048853.62982,China,Paraguay,Dominican Republic
2019,95,14458175126.74097,5835.554080003541,10542601.43537357,53954218147.42557,China,Paraguay,Lebanon
