Year,num_countries,max_gep,min_gep,med_gep,total_gep,max_country,min_country,median_country
2014,67,13414192528.398443,2543.2180785570854,46477473.82051059,64185160254.43003,Germany,Belize,Honduras
2015,66,16838421788.413652,902.2702838220222,43588886.76313199,65125610353.1807,Germany,Cambodia,Honduras
2016,67,16365768209.63764,2365.9179505120956,53260440.47834594,71939740092.88103,China,Belize,Lithuania
2017,65,27139759444.187263,2651.090409189739,56651464.14705447,90106360241.9955,Germany,Belize,Panama
2018,69,26054815588.85932,1592.845654023487,75583429.70981306,105576695940.13593,Germany,Belize,Costa Rica
2019,64,26178282340.31187,1924.1290032191196,55769183.27646068,110313990626.00873,China,Belize,Croatia
