Resource,Country_Name,Year,Country_Code,P_electricity_USD_per_GWh,energy_prod_GWh,nat_contrib,gep
Geothermal energy,Costa Rica,2017,CRI,146000.0,1117.832,0.3210597170906438,52398060.54853081
Geothermal energy,Germany,2017,DEU,338000.0,163.0,0.759701648023783,41855002.596222304
Geothermal energy,France,2017,FRA,136000.0,133.13,0.4430389745071473,8021521.899954567
Geothermal energy,Guatemala,2017,GTM,123000.0,253.048,0.0747654296509476,2327066.8204044974
Geothermal energy,Honduras,2017,HND,211000.0,92.585,0.3983110939522128,7781180.485682347
Geothermal energy,Indonesia,2017,IDN,112000.0,12764.0,0.3021615591811912,431960495.8355372
Geothermal energy,Iceland,2017,ISL,94000.0,5169.599,0.6708779227147668,326007964.80850357
Geothermal energy,Italy,2017,ITA,202000.0,6201.159,0.4939956564680049,618795813.4356303
Geothermal energy,Japan,2017,JPN,217000.0,2457.0,0.7319175176688613,390235730.97798914
Geothermal energy,Kenya,2017,KEN,202000.0,4870.155,0.7786735855287586,766036733.2980239
Geothermal energy,New Zealand,2017,NZL,122000.0,8246.0,0.8079244721287104,812781714.0551482
Geothermal energy,Philippines,2017,PHL,177000.0,10270.077,0.6449716710354904,1172431844.2105083
Geothermal energy,Papua New Guinea,2017,PNG,315000.0,156.8,0.6011136355396669,29690204.68657523
Geothermal energy,Russian Federation,2017,RUS,78000.0,435.0,0.3225149011403059,10942930.595690578
Geothermal energy,Thailand,2017,THA,126000.0,1.552,0.4272800562371719,83555.46955729145
Geothermal energy,Turkiye,2017,TUR,121000.0,6127.482,0.2203645128333634,163383829.88484958
Geothermal energy,United States,2017,USA,166000.0,18726.0,0.4114082398923744,1278869096.237284
Geothermal energy,Austria,2018,AUT,98000.0,0.239,0.5175799851769665,12122.758412814908
Geothermal energy,Chile,2018,CHL,97000.0,214.1,0.6986335380621828,14509011.728413992
Geothermal energy,China,2018,CHN,155000.0,143.5,0.4403324896210486,9794095.400396174
Geothermal energy,Costa Rica,2018,CRI,144000.0,968.571,0.2917829951283062,40696206.82191629
Geothermal energy,Germany,2018,DEU,322000.0,178.0,0.7359239694310842,42180218.23191202
Geothermal energy,France,2018,FRA,130000.0,126.975,0.6047560844718008,9982557.497354899
Geothermal energy,Honduras,2018,HND,172000.0,297.068,0.3855929132523751,19702138.27529773
Geothermal energy,Croatia,2018,HRV,176000.0,2.0,0.4434047933775468,156078.48726889648
Geothermal energy,Indonesia,2018,IDN,107000.0,14019.0,0.2342450352333443,351375282.93617916
Geothermal energy,Iceland,2018,ISL,100000.0,6009.834,0.6394886998264281,384322093.08326614
Geothermal energy,Italy,2018,ITA,193000.0,6105.39,0.6459458577780947,761144016.4596217
Geothermal energy,Japan,2018,JPN,186000.0,2524.0,0.7393899083618838,347116943.93920344
Geothermal energy,Kenya,2018,KEN,215000.0,5168.435,0.8181463417206476,909135280.3492553
Geothermal energy,New Zealand,2018,NZL,115000.0,8193.0,0.8133105656841628,766297148.4347898
Geothermal energy,Philippines,2018,PHL,164000.0,10435.305,0.6331224574261275,1083519455.0769496
Geothermal energy,Papua New Guinea,2018,PNG,303000.0,126.4,0.4802576502085735,18393483.796868198
Geothermal energy,Portugal,2018,PRT,252000.0,230.387,0.2054499644384737,11927916.241185833
Geothermal energy,Russian Federation,2018,RUS,82000.0,426.3,0.3279588914427262,11464327.784606803
Geothermal energy,Thailand,2018,THA,126000.0,1.49,0.6112794201097212,114761.59833139907
