Resource,Country_Name,Year,Country_Code,P_electricity_USD_per_GWh,energy_prod_GWh,nat_contrib,gep
Solar energy,Peru,2019,PER,195000.0,822.571,0.7117977069370539,114173309.5606193
Solar energy,Philippines,2019,PHL,181000.0,1282.5140000000001,0.5553149364447715,128908051.65231487
Solar energy,Papua New Guinea,2019,PNG,289000.0,4.343999999999999,0.5717964827687738,717842.4532116428
Solar energy,Paraguay,2019,PRY,66000.0,0.118,0.7493007293276247,5835.554080003541
Solar energy,Romania,2019,ROU,92000.0,1777.615,0.3276786510192675,53588756.6413086
Solar energy,Russian Federation,2019,RUS,84000.0,940.4,0.3127858629317916,24708081.342088774
Solar energy,Rwanda,2019,RWA,137000.0,31.042,0.4394786444300861,1868994.5630146265
Solar energy,Sierra Leone,2019,SLE,180000.0,6.359,0.3338658640763001,382149.5453390146
Solar energy,Suriname,2019,SUR,72000.0,11.666,0.7439958851106254,624920.8316904401
Solar energy,Slovak Republic,2019,SVK,156000.0,589.0,0.4377657559944604,40223668.723795004
Solar energy,Slovenia,2019,SVN,266000.0,303.039,0.7511985990617555,60552897.621446036
Solar energy,Sweden,2019,SWE,104000.0,679.0,0.653483614108386,46146398.89387778
Solar energy,Eswatini,2019,SWZ,165000.0,0.133,0.6430750986908012,14112.283040769631
Solar energy,Togo,2019,TGO,176000.0,12.131,0.7313862668005956,1561550.6372502125
Solar energy,Thailand,2019,THA,137000.0,5145.717000000001,0.5577261468949652,393176425.41280305
Solar energy,Turkiye,2019,TUR,89000.0,9252.894,0.4151735908644141,341898593.2802335
Solar energy,Tanzania,2019,TZA,126000.0,27.942,0.877645726136553,3089920.286843153
Solar energy,Uganda,2019,UGA,169000.0,119.475,0.6609492995822829,13345409.06892326
Solar energy,Uruguay,2019,URY,167000.0,424.06899999999996,0.9096466642969144,64420742.8640486
Solar energy,United States,2019,USA,181000.0,97478.0,0.3989025597974396,7038044494.032202
Solar energy,"Venezuela, RB",2019,VEN,1238000.0,4.86,0.6677698948199314,4017757.7707651854
Solar energy,Vietnam,2019,VNM,125000.0,4988.468,0.4479240359044859,279306839.9425473
Solar energy,Zambia,2019,ZMB,46000.0,108.75,0.8126797011674238,4065430.205090038
Solar energy,Zimbabwe,2019,ZWE,124000.0,16.907,0.7652146823401001,1604248.0946561852
