Country,ISO3 code,Group Technology,elec_prod_GWh,installed_cap_MW,capacity_factor,lambda,Price_USD_GWh,pq,gep
South Georgia and the South Sandwich Islands,SGS,Wind energy,0.011,0.006,0.20928462709284626,0.3957188160676533,,,
Spain,ESP,Wind energy,55647.0,25590.076,0.24823674850649025,0.48228640598313444,260000.0,14468220000.0,6977825824.773305
Sri Lanka,LKA,Wind energy,348.0,128.45,0.3092723035987565,0.6179324430084839,173000.0,60204000.0,37202004.79888277
Sweden,SWE,Wind energy,19847.0,8681.0,0.2609882812356172,0.5106255417227924,104000.0,2064088000.0,1053976053.1635151
Switzerland,CHE,Wind energy,146.0,75.0,0.2222222222222222,0.4244714587737844,136000.0,19856000.0,8428305.285412263
Syrian Arab Republic (the),SYR,Wind energy,1.051,0.6,0.19996194824961946,0.37500000000000006,78000.0,81978.0,30741.750000000004
Thailand,THA,Wind energy,3673.278,1506.82,0.2782840502533413,0.5490638343051002,137000.0,503239086.0,276310382.1313541
Tokelau,TKL,Wind energy,0.039,0.015,0.2968036529680365,0.5902219873150107,,,
Tonga,TON,Wind energy,1.431,1.397,0.11693354644492603,0.19047683725772993,362000.0,518022.0,98671.19218992378
Trinidad and Tobago,TTO,Wind energy,0.027,0.01,0.30821917808219174,0.6155919661733615,66000.0,1782.0,1096.9848837209302
Tunisia,TUN,Wind energy,500.0,245.0,0.2329699002888827,0.4483572075764768,77000.0,38500000.0,17261752.491694357
Türkiye,TUR,Wind energy,21730.713,7591.156,0.3267848796678661,0.6568525697819471,89000.0,1934033457.0,1270374846.2747128
Ukraine,UKR,Wind energy,2244.41,1257.77,0.20370273357975774,0.3833135592791572,64000.0,143642240.0,55060018.277230926
United Kingdom of Great Britain and Northern Ireland (the),GBR,Wind energy,63834.897,23886.919,0.3050660781589344,0.6085844849062829,177000.0,11298776769.0,6876260240.032941
United States Virgin Islands,VIR,Wind energy,0.272,0.1,0.31050228310502287,0.620665961945032,,,
United States of America (the),USA,Wind energy,298200.0,103835.556,0.3278366024294314,0.6591899291201234,181000.0,53974200000.0,35579249072.31537
Uruguay,URY,Wind energy,4748.949,1516.488,0.3574821994987264,0.7250746048901928,167000.0,793074482.9999999,575038167.4097189
Uzbekistan,UZB,Wind energy,15.5,0.75,1.0,1.0,52000.0,806000.0,806000.0
Vanuatu,VUT,Wind energy,6.16,3.4,0.20682245500940102,0.39024685984330315,382000.0,2353120.0,918297.6908344735
Venezuela (Bolivarian Republic of),VEN,Wind energy,60.36,50.2,0.13725918244828902,0.23564873697598615,1238000.0,74725680.0,17609012.11167171
Viet Nam,VNM,Wind energy,909.686,374.55,0.27725386140689984,0.5467743321584211,125000.0,113710750.0,62174119.39048318
